area_name,municipality_name,region_type,Health_GP_Distance_km,Health_GP_Count_Within_1km,Health_GP_Count_Within_3km,Health_GP_Count_Within_5km,Health_GP_after_hours_Distance_km,Health_Pharmacy_Distance_km,Health_Hospital_incl_Distance_km,Health_Hospital_incl_Count_Within_5km,Health_Hospital_incl_Count_Within_10km,Health_Hospital_incl_Count_Within_20km,Health_Hospital_excl_Distance_km,Health_Hospital_excl_Count_Within_5km,Health_Hospital_excl_Count_Within_10km,Health_Hospital_excl_Count_Within_20km,Retail_Daily_grocery_Distance_to_large_supermarket_km,Retail_Daily_grocery_Count_large_supermarketen_Within_1_km_count,Retail_Daily_grocery_Count_large_supermarketen_Within_3_km_count,Retail_Daily_grocery_Count_large_supermarketen_Within_5_km_count,Retail_Daily_grocery_Distance_to_other_daily_goods_km,Retail_Daily_grocery_Count_overige_dagelijkse_levensmiddelen_Within_1_km_count,Retail_Daily_grocery_Count_overige_dagelijkse_levensmiddelen_Within_3_km_count,Retail_Daily_grocery_Count_overige_dagelijkse_levensmiddelen_Within_5_km_count,Hospitality_Cafes_Distance_to_café_e.d._km,Hospitality_Cafes_Count_cafés_e.d._Within_1_km_count,Hospitality_Cafes_Count_cafés_e.d._Within_3_km_count,Hospitality_Cafes_Count_cafés_e.d._Within_5_km_count,Hospitality_Cafeterias_Distance_to_cafetaria_e.d._km,Hospitality_Cafeterias_Count_cafetaria's_e.d._Within_1_km_count,Hospitality_Cafeterias_Count_cafetaria's_e.d._Within_3_km_count,Hospitality_Cafeterias_Count_cafetaria's_e.d._Within_5_km_count,Hospitality_Restaurants_Distance_to_restaurant_km,Hospitality_Restaurants_Count_restaurants_Within_1_km_count,Hospitality_Restaurants_Count_restaurants_Within_3_km_count,Hospitality_Restaurants_Count_restaurants_Within_5_km_count,Traffic_transport_Distance_to_highway_ramp_km,Traffic_transport_Train_stations_Distance_to_treinstations_totaal_km,Traffic_transport_Train_stations_Distance_to_belangrijk_overstapstation_km,Leisure_culture_Distance_to_bibliotheek_km,Leisure_culture_Sport_Distance_to_indoor_pool_km,Leisure_culture_Sport_Distance_to_ice_rink_km,Leisure_culture_Museum_Distance_to_museum_km,Leisure_culture_Museum_Count_musea_Within_5_km_count,Leisure_culture_Museum_Count_musea_Within_10_km_count,Leisure_culture_Museum_Count_musea_Within_20_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Distance_to_podiumkunsten_totaal_km,Leisure_culture_Performing_arts_(excl._festivals)_Count_podiumkunsten_totaal_Within_5_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Count_podiumkunsten_totaal_Within_10_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Count_podiumkunsten_totaal_Within_20_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Distance_to_music_venue_km,Leisure_culture_Cinema_Distance_to_bioscoop_km,Leisure_culture_Cinema_Count_bioscopen_Within_5_km_count,Leisure_culture_Cinema_Count_bioscopen_Within_10_km_count,Leisure_culture_Cinema_Count_bioscopen_Within_20_km_count,Leisure_culture_Recreation_Distance_to_sauna_km,Leisure_culture_Recreation_Distance_to_tanning_bed_km,Leisure_culture_Recreation_Distance_to_attraction_km,Leisure_culture_Recreation_Count_attractions_Within_10_km_count,Leisure_culture_Recreation_Count_attractions_Within_20_km_count,Leisure_culture_Recreation_Count_attractions_Within_50_km_count,district_x,Name_clean_x,match,GEBIED_NAAM,18_en_ouder,18_tot_65,65_en_ouder,area_name_normalized,district_y,Name_clean_y
Erasmusparkbuurt-West,Amsterdam                               ,Buurt     ,0.3,4.7,37.0,84.4,1.9,0.5,1.9,2.0,5.0,14.6,1.9,1.0,4.0,11.1,0.5,6.7,45.0,112.5,0.3,27.5,231.0,712.8,0.5,7.1,121.7,494.3,0.4,24.2,188.4,632.5,0.2,24.5,405.3,1482.0,0.8,2.8,2.8,0.9,1.2,9.3,2.4,24.7,47.8,67.9,0.6,23.6,46.9,65.9,3.1,1.9,10.4,14.6,20.0,2.5,1.3,1.4,5.2,17.0,61.7,Other,erasmusparkbuurtwest,erasmusparkbuurt west,Erasmusparkbuurt West,71.4,74.1,44.1,erasmusparkbuurt west,Other,erasmusparkbuurt west
Marcanti,Amsterdam                               ,Buurt     ,0.6,3.4,48.3,96.1,2.5,0.8,2.2,2.2,6.0,14.0,2.5,1.2,5.0,11.0,0.4,3.4,61.0,132.6,0.5,17.3,466.4,832.7,0.4,12.2,330.8,595.2,0.5,17.8,408.9,748.8,0.5,31.3,937.0,1802.0,1.9,3.5,3.5,1.2,1.3,7.8,1.3,39.0,47.9,67.0,1.2,35.5,49.0,65.0,1.9,1.5,12.0,14.0,20.0,1.4,1.7,1.9,6.0,17.0,61.9,Other,marcanti,marcanti,Marcanti,66.1,71.4,44.5,marcanti,Other,marcanti
Staatsliedenbuurt,Amsterdam                               ,Wijk      ,0.3,3.3,35.7,81.5,3.8,0.5,2.6,2.0,6.0,14.0,3.8,1.0,5.0,10.0,0.4,3.3,43.3,107.6,0.2,18.2,324.3,723.7,0.2,15.9,239.6,564.1,0.2,11.8,292.6,674.2,0.1,47.9,678.0,1622.0,2.2,2.9,2.9,0.6,1.1,8.0,1.5,36.8,47.0,66.2,1.2,30.7,47.3,65.0,2.6,0.4,11.3,15.2,20.0,2.0,1.2,3.3,5.7,15.8,61.8,Other,staatsliedenbuurt,staatsliedenbuurt noordoost,Staatsliedenbuurt Noordoost,59.1,64.8,46.1,staatsliedenbuurt noordoost,Other,staatsliedenbuurt noordoost
Westerstaatsman,Amsterdam                               ,Buurt     ,0.3,3.4,37.3,83.1,3.7,0.3,2.7,2.0,6.0,14.0,3.7,1.0,5.0,10.0,0.5,2.3,46.3,110.9,0.3,15.4,337.8,737.4,0.1,14.4,248.8,568.7,0.2,8.6,299.7,679.3,0.1,45.8,712.4,1639.0,2.0,3.1,3.1,0.5,1.0,8.2,1.5,35.2,47.0,66.9,1.3,30.8,46.8,65.0,2.5,0.3,11.2,15.0,20.0,2.0,1.3,3.2,6.0,16.0,62.0,Other,westerstaatsman,westerstaatsman,Westerstaatsman,69.6,71.3,46.3,westerstaatsman,Other,westerstaatsman
Fannius Scholtenbuurt,Amsterdam                               ,Buurt     ,0.3,3.0,34.9,79.1,3.8,0.5,2.8,2.0,6.0,14.0,3.8,1.0,5.0,10.0,0.3,2.5,42.4,106.2,0.2,14.8,299.3,718.4,0.1,14.2,218.4,559.7,0.2,11.1,269.1,667.3,0.1,44.9,627.3,1603.0,2.1,2.9,2.9,0.7,1.2,8.0,1.6,36.9,47.0,66.4,1.1,30.2,47.4,65.0,2.7,0.3,11.0,15.1,20.0,2.2,1.1,3.3,5.7,15.9,61.9,Other,fannius scholtenbuurt,fannius scholtenbuurt,Fannius Scholtenbuurt,66.6,68.7,47.5,fannius scholtenbuurt,Other,fannius scholtenbuurt
Staatsliedenbuurt-Noordoost,Amsterdam                               ,Buurt     ,0.4,3.6,32.3,78.4,4.1,0.8,2.6,2.0,6.0,14.0,4.1,1.0,5.0,10.0,0.3,4.3,38.7,102.2,0.2,21.3,288.4,690.6,0.2,17.6,211.4,551.7,0.2,15.6,267.9,655.3,0.2,53.8,585.7,1561.0,2.3,2.6,2.6,0.8,1.3,7.7,1.4,38.0,47.0,65.5,0.8,29.3,47.5,65.0,2.9,0.4,11.4,15.9,20.0,2.1,0.8,3.6,5.1,15.5,61.4,Other,staatsliedenbuurtnoordoost,staatsliedenbuurt noordoost,Staatsliedenbuurt Noordoost,59.1,64.8,46.1,staatsliedenbuurt noordoost,Other,staatsliedenbuurt noordoost
De Wittenbuurt-Noord,Amsterdam                               ,Buurt     ,0.2,4.4,30.5,77.5,4.3,0.8,2.6,2.0,6.0,14.1,4.3,1.0,5.0,10.1,0.3,5.4,35.3,98.7,0.2,27.4,288.1,685.2,0.2,20.5,226.8,554.6,0.4,16.8,274.0,652.1,0.1,60.1,616.9,1558.0,2.6,2.5,2.5,0.8,1.3,7.6,1.3,37.5,47.0,65.0,0.7,29.2,47.2,65.0,2.8,0.7,11.3,16.0,20.0,2.1,0.7,3.7,5.2,15.2,61.2,Other,de wittenbuurtnoord,de wittenbuurt noord,De Wittenbuurt Noord,67.6,70.5,51.8,de wittenbuurt noord,Other,de wittenbuurt noord
De Wittenbuurt-Zuid,Amsterdam                               ,Buurt     ,0.3,3.2,31.5,76.7,4.2,0.8,2.8,2.0,6.0,14.0,4.2,1.0,5.0,10.0,0.2,3.3,33.3,95.6,0.2,14.5,260.1,681.0,0.2,15.1,190.5,546.4,0.3,12.3,241.8,645.0,0.1,43.1,540.5,1543.0,2.5,2.7,2.7,0.9,1.4,7.8,1.5,37.9,47.0,65.2,0.9,29.0,47.7,65.0,3.0,0.7,10.7,15.6,20.0,2.3,0.9,3.6,5.0,15.4,61.4,Other,de wittenbuurtzuid,de wittenbuurt zuid,De Wittenbuurt Zuid,61.0,63.9,53.5,de wittenbuurt zuid,Other,de wittenbuurt zuid
Buyskade e.o.,Amsterdam                               ,Buurt     ,0.3,3.1,39.9,87.0,3.5,0.3,2.4,2.0,6.0,13.9,3.5,1.0,5.0,10.0,0.7,3.7,49.5,115.1,0.2,20.6,387.2,757.9,0.4,16.8,284.8,578.5,0.3,11.6,344.1,701.8,0.2,47.1,803.1,1699.0,2.3,3.1,3.1,0.2,0.8,8.2,1.3,36.9,47.2,66.3,1.5,33.0,47.7,65.0,2.3,0.5,11.9,14.9,20.0,1.7,1.5,2.9,6.0,16.0,61.8,Other,buyskade eo,buyskade eo,Buyskade e.o.,70.9,73.5,52.7,buyskade e.o.,Other,buyskade eo
Frederik Hendrikbuurt,Amsterdam                               ,Wijk      ,0.5,5.9,51.8,99.2,3.1,0.4,1.9,2.7,6.0,13.6,3.1,1.7,5.0,10.1,0.3,5.9,63.1,131.2,0.2,40.7,499.0,825.9,0.3,33.5,389.5,599.4,0.4,28.2,461.5,753.0,0.2,83.8,1070.0,1821.0,2.5,3.0,3.0,0.7,0.7,7.6,1.0,40.1,47.9,66.8,0.9,35.7,49.7,65.0,1.7,1.0,12.0,14.6,20.0,1.2,1.3,2.5,6.0,16.6,62.3,Other,frederik hendrikbuurt,frederik hendrikbuurt noord,Frederik Hendrikbuurt Noord,69.9,72.9,51.8,frederik hendrikbuurt noord,Other,frederik hendrikbuurt noord
Frederik Hendrikbuurt-Noord,Amsterdam                               ,Buurt     ,0.5,5.6,47.1,93.5,3.3,0.4,2.1,2.4,6.0,13.8,3.3,1.4,5.0,9.9,0.4,5.0,56.9,125.0,0.3,38.9,458.9,801.5,0.4,31.7,351.6,593.7,0.5,22.8,420.9,736.8,0.1,81.1,969.3,1780.0,2.7,2.8,2.8,0.5,0.5,7.8,1.0,39.3,47.8,66.7,1.1,35.4,49.8,65.0,1.9,0.9,12.0,15.0,20.0,1.4,1.2,2.7,6.0,16.2,62.1,Other,frederik hendrikbuurtnoord,frederik hendrikbuurt noord,Frederik Hendrikbuurt Noord,69.9,72.9,51.8,frederik hendrikbuurt noord,Other,frederik hendrikbuurt noord
Frederik Hendrikbuurt-Zuidwest,Amsterdam                               ,Buurt     ,0.5,5.2,52.8,100.4,2.9,0.5,2.0,2.7,6.0,13.5,2.9,1.7,5.0,10.3,0.3,5.4,65.0,132.3,0.3,29.9,502.3,832.5,0.3,27.4,382.5,599.2,0.3,24.0,461.9,756.9,0.2,63.3,1064.0,1830.0,2.3,3.2,3.2,0.8,0.9,7.6,1.1,39.8,47.9,67.0,0.9,35.9,49.2,65.0,1.8,1.1,12.0,14.2,20.0,1.1,1.4,2.3,6.0,16.8,62.0,Other,frederik hendrikbuurtzuidwest,frederik hendrikbuurt zuidwest,Frederik Hendrikbuurt Zuidwest,68.1,72.0,55.7,frederik hendrikbuurt zuidwest,Other,frederik hendrikbuurt zuidwest
Frederik Hendrikbuurt-Zuidoost,Amsterdam                               ,Buurt     ,0.4,6.5,57.1,105.7,2.9,0.3,1.8,3.0,6.0,13.4,2.9,2.0,5.0,10.2,0.3,7.1,69.8,138.3,0.2,47.1,546.0,852.7,0.2,38.1,437.8,606.5,0.2,36.3,510.0,771.1,0.2,94.8,1194.0,1868.0,2.3,3.1,3.1,0.9,0.9,7.4,0.9,41.2,47.9,67.0,0.7,36.0,49.7,65.0,1.5,1.1,12.0,14.2,20.0,1.0,1.2,2.3,6.0,16.9,62.7,Other,frederik hendrikbuurtzuidoost,frederik hendrikbuurt zuidoost,Frederik Hendrikbuurt Zuidoost,68.6,70.6,51.0,frederik hendrikbuurt zuidoost,Other,frederik hendrikbuurt zuidoost
Van Galenbuurt,Amsterdam                               ,Wijk      ,0.6,5.0,42.5,94.6,1.3,0.7,1.3,3.4,5.1,15.0,1.3,2.4,4.1,11.0,0.6,3.9,50.1,123.0,0.3,31.4,288.9,785.3,0.3,15.5,154.4,549.0,0.3,22.8,225.0,691.3,0.2,41.2,525.8,1627.0,0.7,2.8,3.4,0.6,0.6,9.0,1.9,26.5,48.1,68.0,1.6,27.2,46.2,65.1,2.5,1.8,10.7,14.8,20.0,2.0,0.6,0.7,6.0,17.0,61.8,Other,van galenbuurt,emanuel van meterenbuurt,Emanuel van Meterenbuurt,64.9,67.5,54.7,emanuel van meterenbuurt,Amsterdam Zuid,emanuel van meterenbuurt
Orteliusbuurt-Noord,Amsterdam                               ,Buurt     ,0.4,5.1,41.6,95.8,1.1,0.6,1.1,3.8,5.0,15.0,1.1,2.8,4.0,11.0,0.5,3.9,51.3,128.0,0.3,33.3,287.4,800.3,0.1,17.4,146.1,560.7,0.2,23.1,223.1,710.2,0.2,42.9,515.9,1659.0,0.7,2.6,3.5,0.3,0.5,8.9,1.9,26.4,47.9,68.0,1.7,27.8,46.0,65.2,2.3,1.8,10.9,14.7,20.0,2.0,0.3,0.7,6.0,17.0,61.5,Other,orteliusbuurtnoord,orteliusbuurt noord,Orteliusbuurt Noord,64.6,68.1,44.1,orteliusbuurt noord,Other,orteliusbuurt noord
Jan Maijenbuurt,Amsterdam                               ,Buurt     ,0.5,5.3,43.1,95.2,1.3,0.6,1.3,3.7,5.0,15.0,1.3,2.7,4.0,11.0,0.6,4.9,52.0,125.0,0.2,35.7,296.4,792.8,0.2,16.6,153.8,559.4,0.3,24.7,226.8,702.7,0.1,44.4,528.3,1656.0,0.8,2.9,3.3,0.5,0.6,8.9,2.0,26.3,48.2,68.0,1.5,28.4,46.4,65.2,2.4,1.8,11.0,14.8,20.0,2.1,0.5,0.8,6.0,17.0,61.8,Other,jan maijenbuurt,jan maijenbuurt,Jan Maijenbuurt,61.1,64.4,37.2,jan maijenbuurt,Other,jan maijenbuurt
John Franklinbuurt,Amsterdam                               ,Buurt     ,0.7,5.9,45.4,97.7,1.5,0.6,1.5,3.1,5.2,15.0,1.5,2.1,4.2,11.0,0.6,3.9,53.3,128.1,0.3,37.8,330.0,804.1,0.3,19.5,199.7,572.7,0.2,26.2,258.5,715.0,0.2,51.2,638.8,1710.0,1.0,3.1,3.5,0.7,0.8,8.6,2.1,28.7,48.1,68.0,1.5,29.2,47.4,65.0,2.4,1.5,11.0,14.5,20.0,1.8,0.7,1.0,5.9,17.0,61.8,Other,john franklinbuurt,john franklinbuurt,John Franklinbuurt,65.0,68.2,41.8,john franklinbuurt,Other,john franklinbuurt
Geuzenbuurt,Amsterdam                               ,Wijk      ,0.5,3.9,47.8,95.9,2.1,0.5,2.1,2.4,5.8,14.4,2.1,1.4,4.8,11.0,0.4,3.9,55.6,132.5,0.4,26.9,392.0,821.8,0.4,16.5,258.4,589.2,0.3,25.8,320.5,737.0,0.3,51.0,790.7,1770.0,1.6,3.5,3.6,1.2,1.4,8.2,1.9,34.4,48.1,67.7,1.2,33.3,48.6,65.0,2.3,1.2,11.7,14.2,20.0,1.4,1.2,1.6,6.0,17.0,62.0,Other,geuzenbuurt,geuzenhofbuurt,Geuzenhofbuurt,75.2,77.0,57.1,geuzenhofbuurt,Other,geuzenhofbuurt
Pieter van der Doesbuurt,Amsterdam                               ,Buurt     ,0.6,4.3,47.9,95.1,1.8,0.5,1.8,2.4,5.3,15.0,1.8,1.4,4.3,11.0,0.5,3.1,52.6,129.1,0.6,28.5,343.0,803.4,0.3,15.1,212.6,577.8,0.3,26.3,270.3,718.1,0.2,46.0,666.5,1717.0,1.2,3.3,3.5,1.0,1.1,8.6,2.1,29.7,48.2,68.0,1.2,30.2,48.2,65.0,2.6,1.5,11.2,14.3,20.0,1.8,1.0,1.2,6.0,17.0,61.6,Other,pieter van der doesbuurt,pieter van der doesbuurt,Pieter van der Doesbuurt,66.0,68.4,47.1,pieter van der doesbuurt,Other,pieter van der doesbuurt
Trompbuurt,Amsterdam                               ,Buurt     ,0.3,4.3,48.4,97.6,2.0,0.4,2.0,2.5,6.0,14.3,2.0,1.5,5.0,11.0,0.3,4.4,57.4,134.6,0.2,30.2,415.3,829.9,0.4,18.9,276.7,593.5,0.2,28.2,343.0,744.9,0.2,57.7,846.6,1792.0,1.6,3.4,3.5,1.1,1.4,8.1,1.8,36.0,48.1,67.8,1.2,34.3,48.7,65.0,2.3,1.0,11.8,14.3,20.0,1.3,1.1,1.6,6.0,17.0,62.2,Other,trompbuurt,trompbuurt,Trompbuurt,72.5,75.5,48.9,trompbuurt,Other,trompbuurt
Geuzenhofbuurt,Amsterdam                               ,Buurt     ,0.8,2.5,46.5,93.5,2.4,0.6,2.4,2.0,6.0,14.0,2.4,1.0,5.0,11.0,0.5,3.9,55.6,132.5,0.4,18.8,403.6,827.3,0.6,13.7,275.6,594.1,0.3,20.6,334.8,743.6,0.4,43.9,825.9,1791.0,2.0,3.8,3.9,1.3,1.8,8.1,1.8,36.9,48.0,67.0,1.2,35.1,48.8,65.0,2.2,1.0,12.0,14.0,20.0,1.3,1.4,2.0,6.0,17.0,62.0,Other,geuzenhofbuurt,geuzenhofbuurt,Geuzenhofbuurt,75.2,77.0,57.1,geuzenhofbuurt,Other,geuzenhofbuurt
Hoofdweg e.o.,Amsterdam                               ,Wijk      ,0.4,5.5,43.2,100.2,1.7,0.5,1.7,4.0,5.9,14.6,1.7,3.0,4.9,11.0,0.4,4.7,54.5,136.7,0.2,40.6,319.2,829.1,0.2,21.6,184.5,582.8,0.3,24.4,253.3,742.1,0.2,49.4,637.0,1762.0,1.4,2.4,3.9,0.7,1.2,8.5,2.4,29.8,47.9,67.9,1.6,30.5,47.6,65.0,1.8,1.5,11.2,14.1,20.0,1.7,0.7,1.4,6.0,17.0,62.0,Other,hoofdweg eo,alexanderplein eo,Alexanderplein e.o.,76.5,77.7,67.8,alexanderplein e.o.,Other,alexanderplein eo
Orteliusbuurt-Midden,Amsterdam                               ,Buurt     ,0.4,5.9,42.3,96.8,1.3,0.6,1.3,4.0,5.7,15.0,1.3,3.0,4.7,11.0,0.5,3.9,52.0,132.8,0.2,38.4,290.0,812.1,0.3,18.8,152.4,573.1,0.3,22.5,224.6,725.2,0.2,44.1,537.9,1703.0,1.0,2.4,3.7,0.4,0.8,8.7,2.1,26.9,47.6,68.0,1.8,28.7,46.1,65.0,1.9,1.8,11.0,14.2,20.0,1.9,0.4,1.0,6.0,17.0,61.2,Other,orteliusbuurtmidden,orteliusbuurt midden,Orteliusbuurt Midden,67.7,70.4,45.1,orteliusbuurt midden,Other,orteliusbuurt midden
Balboaplein e.o.,Amsterdam                               ,Buurt     ,0.4,5.0,44.5,98.9,1.6,0.5,1.6,4.0,5.6,14.9,1.6,3.0,4.6,11.0,0.4,4.7,53.3,131.8,0.1,42.8,322.3,811.2,0.1,23.2,192.8,581.0,0.3,26.1,258.0,725.7,0.1,54.0,637.0,1742.0,1.3,2.7,3.9,0.6,1.1,8.5,2.3,28.9,48.0,67.9,1.7,30.2,47.6,65.0,2.0,1.5,11.0,14.0,20.0,1.8,0.6,1.3,6.0,17.0,61.5,Other,balboaplein eo,balboaplein eo,Balboaplein e.o.,65.1,67.8,39.4,balboaplein e.o.,Other,balboaplein eo
Orteliusbuurt-Zuid,Amsterdam                               ,Buurt     ,0.4,5.8,41.9,102.7,1.7,0.3,1.7,4.0,6.1,14.6,1.7,3.0,5.1,11.0,0.3,4.5,56.6,142.5,0.3,34.9,321.5,853.6,0.4,18.5,181.5,583.8,0.2,20.0,250.9,757.9,0.2,39.7,649.5,1787.0,1.4,2.1,3.9,0.8,1.2,8.4,2.5,30.4,47.9,68.0,1.5,30.7,47.7,65.0,1.5,1.6,11.2,14.0,20.0,1.7,0.8,1.4,6.0,17.0,62.6,Other,orteliusbuurtzuid,orteliusbuurt zuid,Orteliusbuurt Zuid,69.8,72.8,46.8,orteliusbuurt zuid,Other,orteliusbuurt zuid
Columbusplein e.o.,Amsterdam                               ,Buurt     ,0.5,5.6,43.2,101.8,2.0,0.5,2.0,4.0,6.4,14.3,2.0,3.0,5.4,11.0,0.5,5.4,55.6,139.8,0.1,42.9,331.2,840.5,0.3,23.3,196.3,589.2,0.4,26.2,266.2,756.8,0.2,53.6,683.8,1798.0,1.6,2.4,4.0,0.9,1.4,8.3,2.5,31.7,48.0,67.9,1.6,31.8,48.3,65.0,1.6,1.4,11.5,14.0,20.0,1.6,0.7,1.6,6.0,17.0,62.4,Other,columbusplein eo,columbusplein eo,Columbusplein e.o.,62.3,65.2,42.4,columbusplein e.o.,Other,columbusplein eo
Filips van Almondekwartier,Amsterdam                               ,Buurt     ,0.6,4.8,48.5,100.4,1.8,0.6,1.8,3.2,6.0,14.6,1.8,2.2,5.0,11.0,0.3,4.3,58.8,133.6,0.2,40.2,391.8,827.6,0.2,25.6,254.7,591.6,0.2,28.3,318.6,742.4,0.1,64.0,802.4,1795.0,1.5,3.1,3.9,0.8,1.2,8.2,2.0,33.3,48.0,67.9,1.3,32.8,48.6,65.0,2.1,1.1,11.8,14.0,20.0,1.4,0.8,1.5,6.0,17.0,62.0,Other,filips van almondekwartier,filips van almondekwartier,Filips van Almondekwartier,70.9,73.4,47.0,filips van almondekwartier,Other,filips van almondekwartier
Kortenaerkwartier,Amsterdam                               ,Buurt     ,0.5,4.4,50.5,101.6,2.1,0.5,2.1,3.3,6.2,14.1,2.1,2.3,5.2,11.0,0.4,4.8,61.4,136.2,0.2,36.2,431.8,837.4,0.3,23.9,281.3,596.7,0.3,29.9,354.2,753.0,0.1,67.3,874.7,1814.0,1.7,3.2,3.8,1.0,1.5,8.1,1.9,36.5,48.0,67.2,1.2,34.8,48.8,65.0,2.0,0.9,11.8,14.0,20.0,1.2,0.9,1.7,6.0,17.0,62.0,Other,kortenaerkwartier,kortenaerkwartier,Kortenaerkwartier,69.1,71.7,50.5,kortenaerkwartier,Other,kortenaerkwartier
Van Brakelkwartier,Amsterdam                               ,Buurt     ,0.2,4.7,47.2,102.8,2.1,0.7,2.1,3.7,6.5,14.0,2.1,2.7,5.5,11.0,0.5,5.9,57.2,138.2,0.3,45.7,368.6,837.6,0.2,25.4,230.1,595.0,0.3,35.0,297.1,755.7,0.2,77.3,755.6,1809.0,1.8,2.8,4.1,0.9,1.5,8.1,2.3,33.7,48.0,67.2,1.6,33.3,48.7,65.0,1.9,1.2,11.7,14.0,20.0,1.4,0.7,1.8,6.0,17.0,61.9,Other,van brakelkwartier,van brakelkwartier,Van Brakelkwartier,60.0,63.7,38.1,van brakelkwartier,Other,van brakelkwartier
De Wester Quartier,Amsterdam                               ,Buurt     ,0.4,4.3,48.3,102.8,2.3,0.7,2.3,3.8,6.8,14.0,2.3,2.8,5.8,11.0,0.6,5.8,59.6,136.4,0.3,39.3,382.5,837.0,0.2,23.1,243.7,596.2,0.3,31.0,309.4,757.3,0.2,66.7,796.3,1823.0,1.9,2.8,4.1,1.0,1.7,8.1,2.2,34.6,48.0,67.2,1.5,33.7,48.8,65.0,1.8,1.1,11.8,14.0,20.0,1.4,0.7,2.0,6.0,17.0,62.0,Other,de wester quartier,de wester quartier,De Wester Quartier,63.2,66.2,42.7,de wester quartier,Other,de wester quartier
Bellamybuurt,Amsterdam                               ,Wijk      ,0.4,6.0,60.5,112.1,2.7,0.7,2.3,4.2,6.4,13.6,2.7,3.2,5.4,10.6,0.4,9.2,72.6,144.7,0.2,55.5,543.3,867.9,0.2,32.6,371.1,607.1,0.2,46.6,455.4,787.8,0.1,116.0,1137.0,1891.0,2.3,3.1,3.8,0.6,1.8,7.4,1.7,40.5,48.0,67.0,1.0,35.9,49.8,65.0,1.6,0.6,12.0,14.0,20.0,0.7,0.6,2.3,6.3,16.8,62.4,Other,bellamybuurt,bellamybuurt zuid,Bellamybuurt Zuid,70.6,73.0,49.7,bellamybuurt zuid,Other,bellamybuurt zuid
Bellamybuurt-Noord,Amsterdam                               ,Buurt     ,0.4,5.8,61.8,110.9,2.5,0.6,2.2,3.9,6.0,13.9,2.5,2.9,5.0,10.9,0.4,10.1,75.1,144.6,0.2,56.5,572.9,866.2,0.2,36.4,398.1,605.9,0.2,53.0,490.7,786.9,0.1,126.3,1195.0,1888.0,2.1,3.3,3.5,0.7,1.5,7.4,1.4,41.0,48.0,67.0,0.7,36.0,49.9,65.0,1.6,0.4,12.0,14.0,20.0,0.6,0.8,2.1,6.1,17.0,62.9,Other,bellamybuurtnoord,bellamybuurt noord,Bellamybuurt Noord,69.5,72.3,50.4,bellamybuurt noord,Other,bellamybuurt noord
Bellamybuurt-Zuid,Amsterdam                               ,Buurt     ,0.4,6.1,59.6,112.9,2.8,0.8,2.4,4.3,6.6,13.4,2.8,3.3,5.6,10.4,0.4,8.7,71.2,144.8,0.2,55.0,525.2,868.9,0.2,30.3,354.7,607.8,0.2,42.6,433.9,788.3,0.1,109.7,1101.0,1893.0,2.3,3.0,3.9,0.6,1.9,7.4,1.8,40.1,48.0,67.0,1.2,35.9,49.7,65.0,1.5,0.8,12.0,14.0,20.0,0.7,0.5,2.4,6.5,16.8,62.1,Other,bellamybuurtzuid,bellamybuurt zuid,Bellamybuurt Zuid,70.6,73.0,49.7,bellamybuurt zuid,Other,bellamybuurt zuid
Da Costabuurt,Amsterdam                               ,Wijk      ,0.3,7.3,61.4,114.6,2.9,0.5,1.8,3.2,6.0,12.8,2.9,2.2,5.0,9.8,0.2,11.1,77.7,150.6,0.2,70.0,618.2,893.7,0.2,49.8,481.2,617.7,0.2,54.9,556.1,806.3,0.1,150.8,1350.0,1928.0,2.6,3.2,3.2,0.7,1.2,7.0,1.1,41.9,48.0,67.1,0.5,36.5,50.5,65.1,1.2,0.8,12.0,14.1,20.0,0.5,0.9,2.5,7.2,16.6,63.5,Other,da costabuurt,da costabuurt noord,Da Costabuurt Noord,72.0,75.0,55.5,da costabuurt noord,Other,da costabuurt noord
Da Costabuurt-Noord,Amsterdam                               ,Buurt     ,0.3,7.3,61.4,114.6,2.9,0.5,1.8,3.2,6.0,12.8,2.9,2.2,5.0,9.8,0.2,11.1,77.7,150.6,0.2,70.0,618.2,893.7,0.2,49.8,481.2,617.7,0.2,54.9,556.1,806.3,0.1,150.8,1350.0,1928.0,2.6,3.2,3.2,0.7,1.2,7.0,1.1,41.9,48.0,67.1,0.5,36.5,50.5,65.1,1.2,0.8,12.0,14.1,20.0,0.5,0.9,2.5,7.2,16.6,63.5,Other,da costabuurtnoord,da costabuurt noord,Da Costabuurt Noord,72.0,75.0,55.5,da costabuurt noord,Other,da costabuurt noord
Westindische Buurt,Amsterdam                               ,Wijk      ,0.5,3.4,40.6,107.2,2.3,0.6,2.3,4.0,6.0,14.0,2.3,3.0,5.0,11.0,0.4,4.1,55.6,149.5,0.2,21.4,303.8,889.6,0.4,11.8,163.8,576.1,0.4,12.1,233.1,759.2,0.2,39.5,604.5,1796.0,1.2,1.8,3.5,1.3,1.8,8.3,2.9,29.0,47.9,68.0,1.0,30.7,47.5,65.0,1.0,1.8,11.4,14.0,20.0,1.9,1.2,2.0,6.0,17.0,63.2,Other,westindische buurt,buurt 10,Buurt 10,65.9,68.3,58.5,buurt 10,Other,buurt 10
